episodes,raw_rewards,shaped_rewards,rolling_avg,ep_lengths,td_losses,mean_qs,epsilons,variant
167,-254.93266173119733,-258.9826617311973,-266.02644443415204,90,31.095409907968204,-52.82070440940073,0.25939459466858583,dueling_dqn
168,-239.16369797745682,-243.35369797745705,-267.5151421330955,88,22.5577258700704,-32.55631114884041,0.2573194379112371,dueling_dqn
169,-181.31255419075012,-185.15255419075038,-266.263269849404,84,28.43379136854587,-44.07280319525925,0.25526088240794725,dueling_dqn
170,-171.36801265646199,-176.15801265646184,-264.5988829798456,100,38.718694254149156,-45.724893246975,0.2532187953486837,dueling_dqn
171,-325.14145210350887,-331.081452103509,-264.59844665033813,126,33.80730524110447,-47.45110746897459,0.25119304498589423,dueling_dqn
172,-416.10221946019,-422.1922194601898,-268.17030356015437,135,31.061349035000173,-47.54116115081729,0.24918350062600708,dueling_dqn
173,-340.86336690551707,-345.643366905517,-270.80061709435455,98,32.57895911712282,-20.075669413785572,0.24719003262099903,dueling_dqn
174,-427.1737000341303,-433.4137000341305,-269.86839099255945,141,26.83474985116931,-47.442291322695695,0.24521251236003103,dueling_dqn
175,-4.332611964977261,-15.55261196497726,-267.6439795599982,237,35.2545267088321,-33.971130719481685,0.24325081226115078,dueling_dqn
176,-296.23538105783064,-301.26538105783044,-268.87743323774123,112,31.062405783922657,-48.17559143222292,0.24130480576306157,dueling_dqn
177,-215.4929285839072,-219.792928583907,-269.6450032866107,95,37.942178852859435,-45.64440461711979,0.23937436731695708,dueling_dqn
178,-345.35072481007126,-351.72072481007115,-270.9282731194405,131,38.919054242615935,-43.13505341184759,0.2374593723784214,dueling_dqn
179,-237.90675626628,-244.30675626627993,-268.55022731060427,140,28.964369472498134,-47.60023400014038,0.23555969739939403,dueling_dqn
180,-248.36248344710418,-254.74248344710406,-268.8107625823725,136,34.64762402395727,-47.96496621402396,0.23367521982019887,dueling_dqn
181,-378.2738572790855,-385.05385727908543,-271.05501287651293,144,30.413236994687434,-41.21481194856681,0.23180581806163728,dueling_dqn
182,-430.5878959986333,-434.6678959986331,-273.60468528530504,96,33.1237083256242,-44.034003209123775,0.22995137151714418,dueling_dqn
183,-196.57733984724672,-201.47733984724692,-270.6211562964124,110,31.356947426646204,-42.17648356164085,0.228111760545007,dueling_dqn
184,-212.08859806498896,-217.62859806498898,-269.2315648410762,127,33.931845983416295,-38.306490224502625,0.22628686646064694,dueling_dqn
185,-284.20126967003796,-289.361269670038,-270.1461689041218,120,38.46143633996332,-51.319622248792065,0.22447657152896178,dueling_dqn
186,-387.3977862896798,-394.3477862896797,-272.8984709643748,142,33.76555955136568,-47.734711476212105,0.2226807589567301,dueling_dqn
187,-262.62088326970627,-267.97088326970606,-270.9872293498896,119,30.23215279510601,-45.09860649533421,0.22089931288507625,dueling_dqn
