episodes,raw_rewards,shaped_rewards,rolling_avg,ep_lengths,td_losses,mean_qs,epsilons,variant
20,-104.2652409706694,-107.78524097066935,-183.93485837321728,83,51.300170855218326,-15.23906928166111,0.8447829017484679,d3qn
21,-102.22528609534415,-105.78528609534413,-180.22078690604124,88,61.13216951457115,-17.44041770634436,0.8380246385344802,d3qn
22,-49.417428652158335,-52.98742865215836,-174.53368437326372,84,65.63838653393734,-18.850569096801355,0.8313204414262043,d3qn
23,-255.77599850659732,-260.25599850659734,-177.918780795486,104,53.66007945275316,-21.92436215947157,0.8246698778947946,d3qn
24,-155.29574745255675,-159.80574745255674,-177.01385946176882,110,50.95990926673901,-8.32401352796605,0.8180725188716362,d3qn
25,-400.0233402899935,-406.4333402899936,-185.5911471859313,151,59.567443219086684,0.442441646475826,0.8115279387206631,d3qn
26,-373.7775462003349,-377.69754620033484,-192.5610138160944,94,52.4903550769989,-23.448196683966227,0.8050357152108978,d3qn
27,-256.4386800703026,-260.69868007030254,-194.84235903945896,99,55.473659262026494,-14.096659453149812,0.7985954294892106,d3qn
28,-369.37786152399735,-373.21786152399727,-200.86082464237407,87,54.79816232410134,-5.810696730037422,0.7922066660532969,d3qn
29,-326.77564749631256,-332.4056474963124,-205.05798540417203,136,48.58696623114499,-2.486181235286038,0.7858690127248705,d3qn
30,-218.16543512526874,-223.17543512526868,-205.4808063629171,117,53.42969590865986,-16.281820070215566,0.7795820606230716,d3qn
31,-203.77459182704166,-209.68459182704157,-205.427487158671,132,49.2465072671831,-13.82256410969978,0.773345404138087,d3qn
32,-459.741707468499,-465.0217074684991,-213.13397868321124,117,41.393283873064846,-6.696452222727216,0.7671586409049822,d3qn
33,-255.60540104268924,-258.98540104268915,-214.38313816437238,79,44.89683380721228,-20.473575217578574,0.7610213717777423,d3qn
34,-255.7999200618015,-260.19992006180144,-215.56647479001322,103,43.596655862193735,-17.132311162989993,0.7549332008035203,d3qn
35,-204.82258725504573,-209.9925872550457,-215.26803346959744,116,40.202806692439644,-20.083116734254784,0.7488937351970921,d3qn
36,-250.11463236888915,-257.05463236888903,-216.20983343984855,158,40.72168502425257,-16.19563225409816,0.7429025853155153,d3qn
37,-160.99011759392238,-163.99011759392238,-214.7566830228505,72,50.477875734614,-27.536425852703907,0.7369593646329912,d3qn
38,-133.0241925563845,-138.18419255638446,-212.66097813909496,111,43.876319603960205,-23.315665861758156,0.7310636897159273,d3qn
39,-446.04910166780485,-451.3591016678051,-218.4956812273127,123,44.82435513896594,-19.72529444227436,0.7252151801981999,d3qn
40,-536.1909001430013,-540.3809001430012,-226.2443451033051,94,45.79627910227151,-31.20321475666875,0.7194134587566142,d3qn
41,-187.09448232302844,-193.04448232302832,-225.31220551329855,131,39.35487494722995,-25.485871369421794,0.7136581510865613,d3qn
42,-431.62460168206565,-436.9746016820656,-230.11016821489778,125,44.70967351827111,-28.00680742404762,0.7079488858778687,d3qn
43,-283.68801493964094,-289.15801493964085,-231.32784654955103,122,36.389545632469044,10.932030881273834,0.7022852947908458,d3qn
44,-67.29872858627449,-72.19872858627447,-227.682755039256,113,43.196846434525845,-27.34019748679127,0.696667012432519,d3qn
45,-350.5251741489627,-354.23517414896276,-230.35324241120614,85,35.629531566114295,-24.54236611450954,0.6910936763330588,d3qn
46,-99.81999377732107,-107.50999377732096,-227.57593924878304,167,37.598831970022324,-33.61647337341843,0.6855649269223943,d3qn
47,-296.00498544706795,-300.9749854470679,-229.00154437791397,106,37.15989977511717,-41.85881186332882,0.6800804075070151,d3qn
48,-499.1932613237377,-505.0732613237376,-234.51566105027769,132,38.91424899683831,-3.3823311609269737,0.674639764246959,d3qn
49,-123.21609566719664,-131.46609566719664,-232.28966974261607,183,44.9777362455103,-32.34245176996083,0.6692426461329833,d3qn
50,-429.6860992933485,-437.4860992933485,-236.16018796910103,177,44.214236632727385,-23.140424570435258,0.6638887049639195,d3qn
51,-251.05182821860677,-256.23182821860667,-236.4465656662069,118,39.68579983300176,-37.27294481313519,0.6585775953242081,d3qn
52,-108.72335382178784,-113.45335382178781,-234.0366937446141,103,35.57792887314443,-42.8981747517838,0.6533089745616144,d3qn
53,-51.640915383501735,-56.91091538350176,-230.65899414533422,124,41.21600989032523,-35.47417149648932,0.6480825027651215,d3qn
54,-197.4926538259745,-202.0126538259743,-230.05596977589133,100,42.436207853918596,-26.693503391827406,0.6428978427430005,d3qn
55,-303.6646880032037,-315.79468800320353,-231.37041117280765,266,38.988081871283306,-22.24413430012298,0.6377546600010565,d3qn
56,-165.45398366999086,-169.99398366999083,-230.21398262012664,104,31.54926135537377,-43.53925585371008,0.632652622721048,d3qn
57,-59.596245156867774,-65.82624515686773,-227.2722974914498,136,42.061692372068094,-41.318535788965924,0.6275914017392796,d3qn
58,-439.9925264158215,-446.4125264158212,-230.87772510033744,138,35.848684960274525,-23.793554446503205,0.6225706705253654,d3qn
59,-3.1731320654076285,-7.063132065407615,-227.08264854975525,88,36.61178738081733,-48.31190643706239,0.6175901051611625,d3qn
60,-347.2335080306311,-353.07350803063105,-229.05233477075322,130,44.69132074708695,-28.68896731383582,0.6126493843198733,d3qn
61,-436.3129983686781,-442.93299836867806,-232.39524869975202,157,46.450649643988044,-26.78936438379551,0.6077481892453143,d3qn
62,-388.9920347575979,-393.57203475759786,-234.88091197051145,106,34.71619743657248,-31.168444023788492,0.6028862037313517,d3qn
63,-390.4489668854845,-394.1789668854845,-237.31166282855793,80,48.031401949766874,-47.49079796528538,0.5980631141015009,d3qn
64,-338.2918543307216,-342.07185433072146,-238.86520423628355,81,54.85678377349154,-44.71614157973846,0.5932786091886889,d3qn
65,-174.2021226611988,-177.3721226611988,-237.88546057605498,79,50.45341743125691,-55.74660490288772,0.5885323803151794,d3qn
66,-65.42370754768913,-71.0637075476891,-235.31140456070625,126,34.781773404980285,-50.758858936230666,0.5838241212726579,d3qn
67,-245.8261466337294,-251.19614663372926,-235.46603312060364,117,38.69263025147224,-49.60890706786818,0.5791535283024767,d3qn
68,-308.1585282875071,-313.80852828750704,-236.5195475433124,125,34.18179754386629,-58.70032351002947,0.5745203000760568,d3qn
69,-69.01463612090596,-74.05463612090597,-234.126620237278,111,35.917824132488334,-59.5081220482284,0.5699241376754484,d3qn
70,-146.8484524918558,-151.28845249185594,-232.89735026903261,108,36.7272242447484,-45.93907420838365,0.5653647445740447,d3qn
71,-82.20948497433514,-88.70948497433508,-230.8044632510507,142,30.953155525193196,-58.673553016219365,0.5608418266174524,d3qn
72,-184.80733443452243,-189.6673344345224,-230.17436559602973,114,34.137853497687715,-62.5162131839914,0.5563550920045128,d3qn
73,-21.453314979227073,-26.203314979227073,-227.35381085796482,104,35.414192712026775,-61.75928099166596,0.5519042512684768,d3qn
74,-157.200805908682,-161.70080590868193,-226.41843745864102,105,29.980471395443658,-51.00352662701427,0.5474890172583289,d3qn
75,-256.70017720030614,-266.29017720030606,-226.8168814026103,211,33.65048101906427,-40.76741599841746,0.5431091051202622,d3qn
76,-585.1223521048965,-592.5823521048966,-231.4701992039387,169,32.04493519096864,-42.87023276812589,0.5387642322793001,d3qn
77,-111.21594409866293,-118.13594409866288,-229.92847798464027,157,28.42363302973049,-52.173666247598305,0.5344541184210657,d3qn
78,-285.72421903141793,-292.78421903141793,-230.63475318776403,158,27.82110762961622,-57.37762317706417,0.5301784854736972,d3qn
79,-376.8488504467669,-380.53885044676673,-232.46242940350166,81,28.253531352809972,-55.58999270145741,0.5259370575899076,d3qn
80,-346.01052960210404,-351.1005296021041,-233.86425780101527,115,31.570634649728486,-63.26909663050879,0.5217295611291883,d3qn
81,-111.82940437504527,-116.69940437504525,-232.37602788118636,104,23.67338986117733,-57.614482308886004,0.5175557246401549,d3qn
82,-359.48594927800184,-363.01594927800164,-233.9074727172926,79,25.66372482119192,-65.95016915392945,0.5134152788430336,d3qn
83,-217.6516936340563,-225.54169363405617,-233.71395153773022,174,27.410593239010193,-45.32989085555682,0.5093079566122893,d3qn
84,-180.6602349347658,-185.62023493476573,-233.08979016593068,107,28.167236565044746,-50.14252989516842,0.505233492959391,d3qn
85,-361.74830115395685,-365.1083011539568,-234.58581936346584,69,29.041079562627385,-57.23096881358947,0.5011916250157159,d3qn
86,-440.4614350037437,-444.4714350037438,-236.9522057501357,91,25.484023190810984,-51.8491345044182,0.49718209201559016,d3qn
87,-278.67193415031625,-287.7819341503163,-237.42629357286503,193,21.650137536409996,-50.59535538211749,0.49320463527946545,d3qn
88,-213.28856195032793,-220.69856195032781,-237.15508310519607,162,17.513676468651436,-55.16039412656678,0.48925899819722973,d3qn
89,-13.7836730677693,-20.563673067769457,-234.67317854922467,150,22.655412157642633,-54.178990731980264,0.4853449262116519,d3qn
90,-424.1463400728125,-433.25634007281246,-236.75530120333005,205,22.746682913985783,-39.029778132445756,0.48146216680195864,d3qn
91,-369.86511982869786,-383.085119828698,-238.2021470579536,295,23.894514462213753,-44.87186967826984,0.477610469467543,d3qn
92,-215.7633113497492,-219.7433113497491,-237.9608692546396,88,18.842208390944553,-39.04659455073334,0.47378958571180263,d3qn
93,-621.8025383756891,-629.0325383756892,-242.04429126656566,159,20.117192209274556,-52.070587281629976,0.4699992690261082,d3qn
94,-240.94277832055812,-249.412778320558,-242.03269639344978,194,20.33802835578068,-46.83521008669775,0.4662392748738994,d3qn
95,-344.35274343769777,-350.90274343769767,-243.09853021682736,146,20.162515650593086,-46.404231036305674,0.46250936067490817,d3qn
96,-309.1393786184605,-326.53937861846055,-243.77936370550398,369,20.166502383394402,-45.35808018229392,0.4588092857895089,d3qn
97,-271.9427740634587,-275.8127740634591,-244.06674544385046,105,24.502607693651466,-49.7259515833813,0.45513881150319285,d3qn
98,-173.52423359529786,-178.11423359529778,-243.3541948191176,102,19.34652527379214,-43.731835056420714,0.4514977010111673,d3qn
99,-161.67174925876753,-170.0817492587674,-242.5373703635141,185,19.89713670109535,-52.465417360718604,0.447885719403078,d3qn
100,-275.6779784136751,-281.7279784136749,-241.8158315400998,136,20.260005203512584,-44.858306944780246,0.44430263364785333,d3qn
101,-297.1122342945988,-302.86223429459864,-243.88155368949487,124,19.144625991195966,-45.30111123732257,0.4407482125786705,d3qn
102,-194.91679528270475,-199.52679528270465,-244.18565866138385,97,15.168469767175296,-46.52172347435903,0.43722222687804113,d3qn
103,-247.73600874155903,-252.8760087415588,-244.05686719852497,119,17.469249009018636,-46.59084896277459,0.4337244490630168,d3qn
104,-205.3260305975825,-210.61603059758247,-245.1377132785278,119,17.92994449293366,-45.86689986523057,0.43025465347051267,d3qn
105,-117.30082557393331,-121.8008255739333,-245.36417545941887,99,18.35652950525559,-51.73251959383761,0.4268126162427486,d3qn
106,-354.3516367622927,-361.1116367622925,-247.58333310828192,143,19.473350697854077,-55.478759981708336,0.4233981153128066,d3qn
107,-386.9589828052565,-392.59898280525636,-248.09062419074962,123,19.29565172987381,-60.018708407935435,0.4200109303903041,d3qn
108,-250.35460218319767,-254.8246021831976,-249.42292334964182,99,18.733075128481836,-65.44284037665473,0.4166508429471817,d3qn
109,-350.1401978836382,-356.06019788363795,-248.89441407397126,131,20.737565638161932,-59.58400080295348,0.41331763620360423,d3qn
110,-504.2262097425737,-509.2762097425736,-252.98903738092508,107,18.448722750608155,-67.08467394002062,0.4100110951139754,d3qn
111,-356.76423861910996,-363.5742386191101,-254.29837639127692,150,19.412104716969722,-60.32475535759513,0.4067310063530636,d3qn
112,-379.47038848686964,-383.60038848686946,-256.6185396510913,91,19.251901368544694,-51.43506265689324,0.40347715830223907,d3qn
113,-169.0445060197807,-174.70450601978064,-257.3883146658497,124,18.852381531727126,-61.763043919524584,0.40024934103582116,d3qn
114,-629.4214713314263,-637.7814713314264,-261.7749241119874,190,20.235887277022808,-70.45499519630907,0.3970473463075346,d3qn
115,-613.4269844315879,-618.8069844315878,-264.69255339610635,122,23.98555867833932,-54.47529667326184,0.3938709675370743,d3qn
116,-379.7756159001018,-385.7756159001019,-267.0355611650563,129,25.13937042232572,-72.32568851728395,0.3907199997967777,d3qn
117,-72.86441077403802,-80.004410774038,-265.8595633320602,150,21.371774107491245,-68.93031608787088,0.38759423979840346,d3qn
118,-493.4722179315206,-501.1222179315205,-269.13431318944765,165,20.867582561028428,-74.3514832120682,0.38449348588001625,d3qn
119,-319.1471379813689,-325.4371379813691,-270.92858725241325,151,24.404061595490557,-78.5814174050883,0.3814175379929761,d3qn
120,-413.6501316210747,-419.41013162107436,-274.02243615891734,126,21.99688596406563,-79.19099174421257,0.3783661976890323,d3qn
121,-285.187082982782,-300.7070829827823,-275.8520541277918,350,24.978987459529396,-71.55427391282605,0.37533926810752005,d3qn
122,-323.5359869311674,-329.86598693116736,-278.5932397105818,150,26.798088280692703,-79.00073160104063,0.3723365539626599,d3qn
123,-309.8865716675865,-317.3165716675864,-279.1343454421917,166,26.62093174659723,-77.5986054614272,0.3693578615309586,d3qn
124,-389.79513234420114,-397.80513234420135,-281.4793392911082,192,29.08957556721614,-81.23965836571001,0.36640299863871095,d3qn
125,-387.36875383335075,-400.8887538333507,-281.3527934265417,286,24.65351896213583,-67.05652395411573,0.3634717746496013,d3qn
126,-286.11821437732345,-290.3282143773233,-280.47620010831156,89,17.78008335525657,-85.24222763228478,0.3605640004524045,d3qn
127,-362.82622566235267,-371.5362256623525,-281.5400755642321,200,19.440552932267966,-72.82741169563185,0.3576794884487853,d3qn
128,-286.45750823524236,-295.15750823524223,-280.71087203134454,186,28.20603843071805,-78.72344812118928,0.354818052541195,d3qn
129,-335.079090413827,-349.21909041382713,-280.7939064605197,326,30.18911928512097,-73.67556739780827,0.3519795081208654,d3qn
130,-82.52981733060656,-90.16981733060648,-279.4375502825731,169,24.61898411382945,-81.99452452671116,0.3491636720558985,d3qn
131,-103.53425678392072,-107.91425678392069,-278.4351469321419,96,16.909076115847594,-87.4727623458263,0.3463703626794513,d3qn
132,-198.99891391906755,-204.60891391906753,-275.8277189966476,123,16.709188722318164,-65.21725981438459,0.3435993997780157,d3qn
133,-171.86609144125669,-176.81609144125667,-274.9903259006333,120,46.70641338953715,-86.43332090978187,0.34085060457979155,d3qn
134,-381.2597369821034,-392.28973698210285,-276.2449240698363,235,21.558615792695484,-72.11821138205958,0.3381237997431532,d3qn
135,-79.9509652105354,-86.1309652105354,-274.9962078493912,135,20.95868683156661,-71.5524793728489,0.33541880934520796,d3qn
136,-185.52578516635134,-192.9157851663511,-274.3503193773658,161,52.26007930927793,-65.26845375829592,0.3327354588704463,d3qn
137,-217.8308883274591,-225.92088832745915,-274.9187270847012,187,36.389799087023576,-76.66022414889912,0.3300735751994827,d3qn
138,-316.4785499907254,-323.98854999072535,-276.7532706590446,170,25.965264419421196,-79.28053078026315,0.32743298659788683,d3qn
139,-403.1422048776542,-411.482204877654,-276.324201691143,180,37.78453221869498,-78.06289677926193,0.3248135227051037,d3qn
140,-116.91972666407167,-125.56972666407177,-272.1314899563538,191,33.56071207001213,-70.29552823724602,0.3222150145234629,d3qn
141,-410.5251212009255,-417.0451212009253,-274.3657963451327,143,40.18362399824715,-81.84459725160124,0.3196372944072752,d3qn
142,-193.4541182318306,-197.6041182318305,-271.9840915106304,92,52.09889134344885,-63.0171516057868,0.317080196052017,d3qn
143,-134.56293174516918,-139.3329317451692,-270.4928406786856,105,36.71287366327202,-67.15242670806036,0.31454355448360083,d3qn
144,-212.50683827953884,-223.75683827953893,-271.9449217756183,252,38.17380323089885,-63.90512001769855,0.31202720604773204,d3qn
145,-201.820289281364,-214.37028928136377,-270.4578729269423,272,28.85525520628891,-59.71394004423501,0.30953098839935017,d3qn
146,-157.54377121993863,-163.42377121993854,-271.03511070136847,138,21.426261209083872,-71.31283093906063,0.30705474049215536,d3qn
147,-650.2018409779536,-663.7918409779537,-274.57707925667734,288,20.182688212070545,-44.74325511174143,0.3045983025682181,d3qn
148,-203.6869087388011,-210.90690873880106,-271.62201573082797,163,25.170661489079155,-56.327376787084795,0.3021615161476724,d3qn
149,-443.4895818228042,-456.39958182280395,-274.824750592384,275,31.34278659133262,-56.31701293239378,0.299744224018491,d3qn
150,-423.05289949168434,-439.79289949168395,-274.75841859436736,354,25.811038372662964,-50.83266969315792,0.2973462702263431,d3qn
151,-204.25299121655496,-212.59299121655468,-274.2904302243469,180,22.582412799094136,-43.786266771216795,0.2949675000645323,d3qn
152,-492.42462410391335,-498.30462410391334,-278.12744292716815,123,28.287288604257384,-38.42731023017347,0.29260776006401606,d3qn
153,-283.32397116219823,-287.10397116219815,-280.44427348495515,93,25.81066531964352,-44.19120707561696,0.2902668979835039,d3qn
154,-331.30060435411434,-340.79060435411384,-281.78235299023646,197,31.106049255024267,-51.082488486561154,0.2879447627996359,d3qn
155,-259.0996198153831,-261.829619815383,-281.3367023083583,57,41.01171761086834,-61.31215576873652,0.2856412046972388,d3qn
156,-489.6657080811982,-494.7757080811979,-284.57881955247035,116,34.847295950823444,-59.26273311298996,0.2833560750596609,d3qn
157,-437.3979575543668,-442.857957554367,-288.35683667644537,117,42.830489493135026,-45.48272108789196,0.2810892264591836,d3qn
158,-329.69025509324024,-335.6502550932404,-287.2538139632195,124,29.539378640840567,-48.50010797000042,0.27884051264751014,d3qn
159,-322.37553022671545,-326.22553022671536,-290.44583794483265,80,28.27180132635874,-48.709758923174775,0.27660978854633006,d3qn
160,-229.69942255727017,-240.99942255727012,-289.270497090099,235,34.673497975389935,-54.16836725628035,0.2743969102379594,d3qn
161,-317.6776368950842,-327.1976368950844,-288.0841434753631,206,22.396045132457914,-53.23495186611697,0.27220173495605576,d3qn
162,-19.956096078798367,-26.196096078798448,-284.3937840885751,132,33.135313278171935,-52.536687849429875,0.27002412107640733,d3qn
163,-232.70050624330594,-241.87050624330612,-282.8162994821533,220,22.073995617908704,-54.85235747156041,0.2678639281077961,d3qn
164,-315.1947401905659,-319.4647401905658,-282.58532834075174,89,19.607213470028174,-43.570456227364495,0.2657210166829337,d3qn
165,-308.48806811257873,-319.3280681125792,-283.9281877952655,266,26.84085355174587,-58.60862134817544,0.2635952485494702,d3qn
